market,seed,decision_date,candidate_ticker,precedent_cvar_05,forward_realized_mdd_63d,forward_severe_drawdown,forward_extreme_drawdown,baseline_score,pred_utility
US,7,2024-01-02,AAPL,0.1449,-0.1338484560759159,0,0,-0.2777,0.0317
US,7,2024-01-02,ADBE,0.2575,-0.224179242739455,1,1,-18.7491,-0.1878
US,7,2024-01-02,AMD,0.2603,-0.15852970475709227,1,0,-7.1316,-0.1036
US,7,2024-01-02,AMGN,0.0716,-0.16511032777019752,1,0,0.1865,0.0252
US,7,2024-01-02,AMZN,0.1649,-0.042247034944770556,0,0,-14.4355,-0.0771
US,7,2024-01-02,AVGO,0.1175,-0.12189671116723155,0,0,-5.0944,-0.0705
US,7,2024-01-02,CRM,0.1528,-0.06994919239728825,0,0,-3.9659,0.0075
US,7,2024-01-02,GOOGL,0.2957,-0.14402969673303445,0,0,-17.9953,-0.0887
US,7,2024-01-02,INTU,0.0985,-0.0692601525887242,0,0,2.7512,0.0567
US,7,2024-01-02,ISRG,0.1623,-0.05414514251402103,0,0,-5.2124,-0.0194
US,7,2024-01-02,LMT,0.0033,-0.09713276151256767,0,0,11.1849,0.0442
US,7,2024-01-02,META,0.3542,-0.05583868718295548,0,0,-29.4099,-0.1966
US,7,2024-01-02,MSFT,0.211,-0.042126850143431205,0,0,-22.538,-0.0952
US,7,2024-01-02,NOC,0.0058,-0.09671987499147017,0,0,13.7484,0.0808
US,7,2024-01-02,NVDA,0.0423,-0.08698231002369938,0,0,6.469,0.046
US,7,2024-01-02,ORCL,0.0791,-0.07768400138893083,0,0,8.0016,0.1504
US,7,2024-01-02,REGN,0.0161,-0.042683825036676115,0,0,8.5697,0.0713
US,7,2024-01-02,V,0.0914,-0.04618266629797352,0,0,-7.92,-0.0239
US,7,2024-04-03,AAPL,0.0509,-0.06542056401382335,0,0,19.1206,0.1855
US,7,2024-04-03,ADBE,0.0067,-0.11667777230341791,0,0,4.4279,0.107
US,7,2024-04-03,AMD,0.0864,-0.20191402963616856,1,1,12.6017,0.158
US,7,2024-04-03,AMGN,0.0128,-0.06445913408290327,0,0,9.6225,0.0649
US,7,2024-04-03,AMZN,0.3683,-0.08135416363152237,0,0,-38.7389,-0.1789
US,7,2024-04-03,AVGO,0.1914,-0.13290203948190848,0,0,-7.8249,-0.1287
US,7,2024-04-03,CRM,0.094,-0.2846032271540492,1,1,-3.7367,-0.0109
US,7,2024-04-03,GOOGL,0.1983,-0.05332954218173913,0,0,-13.2727,-0.109
US,7,2024-04-03,INTU,0.0648,-0.16008476190944643,1,0,1.7767,0.0348
US,7,2024-04-03,ISRG,0.0745,-0.06607865390923118,0,0,4.0875,0.0471
US,7,2024-04-03,LMT,0.0647,-0.03791221114603294,0,0,-6.4616,-0.0392
US,7,2024-04-03,META,0.0772,-0.1842644726997259,1,0,5.5289,0.0714
US,7,2024-04-03,MSFT,0.0835,-0.09020162348905247,0,0,-6.1959,-0.062
US,7,2024-04-03,NOC,0.154,-0.12860048607332797,0,0,-18.7557,-0.0734
US,7,2024-04-03,NVDA,0.2061,-0.15908877182615977,1,0,-5.6083,-0.0783
US,7,2024-04-03,ORCL,0.0101,-0.0960307286401092,0,0,6.6929,0.1159
US,7,2024-04-03,REGN,0.0542,-0.07124454282010573,0,0,2.1271,0.0095
US,7,2024-04-03,V,0.0281,-0.06587632181211056,0,0,15.793,0.0757
